"cl-rfile"
"Iteration" "cl"
("Iteration" "cl")
1 0.06204960149167694
2 0.1773832947844337
3 0.314549865415071
4 0.449682306259558
5 0.5841016852151696
6 0.7138349765229375
7 0.8347479873588904
8 0.9333256896920377
9 1.003355610338007
10 1.049202056640539
11 1.081775790785268
12 1.109392852886916
13 1.13779159288726
14 1.167635095474514
15 1.197709789706608
16 1.225081414335063
17 1.248033554875177
18 1.265250453381899
19 1.277211709655351
20 1.284620849439986
21 1.288679508351009
22 1.290298929460054
23 1.290671040760495
24 1.290310226503123
25 1.289923207829279
26 1.28961237869674
27 1.289686182353737
28 1.290005328241635
29 1.290743615330637
30 1.29169496186703
31 1.292983153229707
32 1.294393389592657
33 1.295965728756152
34 1.297474680926777
35 1.299002463762004
36 1.300345585935906
37 1.301618763996991
38 1.30266342855557
39 1.303578073145119
40 1.304226257010474
41 1.304757334359467
42 1.305043177914007
43 1.305212238209678
44 1.305191262199919
45 1.305081697361399
46 1.304811268983773
47 1.304497578067157
48 1.304037560256305
49 1.303594800528688
50 1.303098016583341
